frame_id,class_id,instance_id,x0,y0,score0,x1,y1,score1,x2,y2,score2,x3,y3,score3,x4,y4,score4,x5,y5,score5,x6,y6,score6,x7,y7,score7
1,0,4,1901.875,1642.625,0.9970703,1939.0625,1663.875,1.0,1961.375,1715.9375,0.9995117,1897.625,1728.6875,1.0,1905.0625,1677.6875,1.0,1930.5625,1707.4375,1.0,1934.8125,1754.1875,0.9980469,1936.9375,1766.9375,0.9995117
1,0,5,1906.125,2016.625,0.9975586,1939.0625,2057.0,1.0,1949.6875,2110.125,1.0,1894.4375,2128.1875,1.0,1900.8125,2064.4375,1.0,1922.0625,2100.5625,1.0,1943.3125,2139.875,0.99902344,1959.25,2148.375,0.9995117
1,0,6,421.8125,390.46875,0.9980469,372.9375,382.5,1.0,337.60938,362.57812,1.0,370.54688,318.48438,1.0,395.51562,348.76562,1.0,361.51562,346.375,1.0,333.89062,335.21875,0.9980469,322.20312,333.89062,0.9995117
1,0,7,405.875,2358.75,0.9995117,386.21875,2407.625,1.0,343.98438,2462.875,0.9995117,303.60938,2416.125,1.0,358.85938,2377.875,1.0,338.67188,2424.625,1.0,307.59375,2450.125,0.9951172,301.75,2452.25,0.9980469
1,0,8,695.9375,1032.75,0.99609375,657.15625,1035.9375,1.0,591.28125,1024.25,1.0,615.71875,973.25,0.9995117,668.84375,1003.53125,0.9995117,623.6875,1005.65625,1.0,574.28125,980.6875,0.99902344,561.0,971.125,1.0
1,0,9,2407.625,2241.875,0.98779297,2399.125,2220.625,0.9995117,2358.75,2127.125,1.0,2426.75,2118.625,0.9995117,2437.375,2218.5,0.9995117,2401.25,2155.8125,1.0,2390.625,2082.5,0.9975586,2394.875,2068.6875,0.99902344
1,0,10,1498.125,196.03125,0.99902344,1523.625,247.42969,1.0,1558.6875,251.67969,0.9995117,1519.375,294.3125,0.99902344,1486.4375,254.33594,1.0,1522.5625,275.71875,1.0,1547.0,280.23438,0.99365234,1551.25,285.28125,0.9975586
1,0,11,1082.1562,2437.375,0.99853516,1034.875,2456.5,1.0,989.1875,2462.875,1.0,996.625,2399.125,1.0,1039.125,2411.875,1.0,1003.0,2431.0,1.0,963.6875,2428.875,0.9995117,949.34375,2426.75,1.0
1,0,12,1999.625,1860.4375,0.99853516,2048.5,1873.1875,0.9995117,2062.3125,1930.5625,0.99902344,2008.125,1931.625,1.0,2023.0,1895.5,1.0,2044.25,1915.6875,1.0,2033.625,1959.25,0.99902344,2033.625,1972.0,0.9995117
1,0,13,1928.4375,372.9375,0.9951172,1898.6875,368.42188,0.9995117,1812.625,357.53125,1.0,1830.6875,303.34375,1.0,1912.5,337.875,0.9995117,1853.0,336.01562,1.0,1793.5,321.67188,0.99902344,1782.875,318.21875,0.9995117
