Experiment,Channel,SNR (dB),Vrms
2024-04-25_12-30-56 (Very Good),1,0.41629889114998986,10.371425059571477
2024-04-25_12-30-56 (Very Good),2,4.1238618676278085,19.103871299638786
2024-04-25_12-30-56 (Very Good),3,4.001339949495767,37.88335770791989
2024-04-25_12-30-56 (Very Good),4,2.641714176432507,34.76393204773542
2024-04-25_12-30-56 (Very Good),5,8.412877809517717,52.57856328319532
2024-04-25_12-30-56 (Very Good),6,1.9646808985742672,16.248761585025562
2024-04-25_12-30-56 (Very Good),7,2.5789997662844586,14.99343832128141
,,,
2024-04-25_12-33-44 (Good),1,5.039959836972447,16.17272851768655
2024-04-25_12-33-44 (Good),2,2.0908945559596708,16.65748125903791
2024-04-25_12-33-44 (Good),3,0.5599429379501554,8.394009756910119
2024-04-25_12-33-44 (Good),4,3.938531529532267,27.099884315130446
2024-04-25_12-33-44 (Good),5,5.519718419198984,29.8378631415212
2024-04-25_12-33-44 (Good),6,-0.4016046281880582,9.869817399374012
2024-04-25_12-33-44 (Good),7,3.5661126388797655,14.98405440592164
,,,
2024-04-25_12-37-13 (OK),1,1.2886225121555397,12.606445309456952
2024-04-25_12-37-13 (OK),2,-0.2374697519081585,12.7810381283526
2024-04-25_12-37-13 (OK),3,2.023538674601726,17.37699852712342
2024-04-25_12-37-13 (OK),4,2.84058900239561,24.329142586970345
2024-04-25_12-37-13 (OK),5,2.347675520228713,24.10251265978032
2024-04-25_12-37-13 (OK),6,1.3483416538205053,21.915260947909857
2024-04-25_12-37-13 (OK),7,1.4141170894681776,15.567319720350367
2024-04-25_12-37-13 (OK),8,2.053747830512242,20.060900513327283
,,,
2024-04-25_12-40-19 (Good),1,1.0860697552314889,11.84283038174821
2024-04-25_12-40-19 (Good),2,6.072198115733962,25.077542740180036
2024-04-25_12-40-19 (Good),3,2.0818722262555953,23.320703165377594
2024-04-25_12-40-19 (Good),4,2.3295231870143147,20.51735105740204
2024-04-25_12-40-19 (Good),5,6.538939746069268,32.55518206652933
2024-04-25_12-40-19 (Good),6,1.687701781222386,15.20734744827714
2024-04-25_12-40-19 (Good),7,1.0180792636741536,14.494885314066387
2024-04-25_12-40-19 (Good),8,0.8093288646098323,15.086654620498534
,,,
2024-04-25_12-45-21 (Good),1,2.030899204035412,22.44776132362921
2024-04-25_12-45-21 (Good),2,1.474603088412875,10.635682824820583
2024-04-25_12-45-21 (Good),3,1.697725948672186,9.35224806403146
2024-04-25_12-45-21 (Good),4,11.750410831468777,52.69694664588496
2024-04-25_12-45-21 (Good),5,2.658851881335565,13.864458060412757
2024-04-25_12-45-21 (Good),6,1.0331725580524844,10.414455834167532
2024-04-25_12-45-21 (Good),7,1.7239394934169971,9.514487677788397
2024-04-25_12-45-21 (Good),8,0.6104900270066521,5.98097879071169
,,,
2024-04-25_12-48-05 (Very Good),1,1.854591656537817,13.784537792636947
2024-04-25_12-48-05 (Very Good),2,2.74017369372477,9.924448707821673
2024-04-25_12-48-05 (Very Good),3,7.647009898984406,22.483506157714185
2024-04-25_12-48-05 (Very Good),4,nan,27.098715774975854
2024-04-25_12-48-05 (Very Good),5,17.401800186074638,95.90422768537945
2024-04-25_12-48-05 (Very Good),6,1.0116836810942187,12.523721324256035
2024-04-25_12-48-05 (Very Good),7,0.8533979085235833,8.991513612720299
2024-04-25_12-48-05 (Very Good),8,1.258553826689519,10.374502783539583
,,,
2024-04-25_12-52-25 (Open Wire),1,1.9576110003962928,8.298944266226158
2024-04-25_12-52-25 (Open Wire),2,-0.02033107240228432,8.843014896537275
,,,
2024-04-25_12-56-01 (Nothing),1,1.5082264582520106,9.90638624074504
2024-04-25_12-56-01 (Nothing),2,1.6901453460609166,14.439549049477854
2024-04-25_12-56-01 (Nothing),3,2.839144097601174,11.485718045111934
2024-04-25_12-56-01 (Nothing),4,0.47363446716361773,10.63973287876836
2024-04-25_12-56-01 (Nothing),5,2.6867101309777173,11.375606871870028
,,,
2024-04-25_13-17-49 (Very Good - In cage),1,1.0951386925402173,18.15068775833922
2024-04-25_13-17-49 (Very Good - In cage),2,4.054312108948014,12.896651094713178
2024-04-25_13-17-49 (Very Good - In cage),3,5.975959721017695,21.51272623246546
2024-04-25_13-17-49 (Very Good - In cage),4,nan,27.454041916923032
2024-04-25_13-17-49 (Very Good - In cage),5,15.958416973943372,90.79488488856981
2024-04-25_13-17-49 (Very Good - In cage),6,1.039383921104086,13.779949066915773
2024-04-25_13-17-49 (Very Good - In cage),7,1.5056019776410285,10.159661591376377
2024-04-25_13-17-49 (Very Good - In cage),8,1.9546025388994566,11.142331029816614
,,,
