Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
27,-36,-52,24,0,0,0,0
17,-62,-62,14,0,0,0,0
19,-74,-64,26,0,0,0,0
17,-66,-62,16,0,0,0,0
35,-54,-56,12,0,0,0,0
51,-58,-38,26,-2,-2,-2,-2
29,-54,-40,24,0,0,0,0
19,-64,-54,14,0,0,0,0
23,-28,-30,-6,-2,-2,-2,-2
39,-40,-38,-12,-2,-2,-2,-2
19,-50,-38,14,0,0,0,0
19,-50,-62,38,0,0,0,0
29,-64,-54,8,0,0,0,0
31,-54,-50,22,0,0,0,0
-3,-46,-40,26,-2,-2,-2,-2
63,10,12,86,0,0,0,0
81,-14,-14,46,0,0,0,0
81,-10,0,70,0,0,0,0
21,-62,-62,8,-2,-2,-2,-2
23,-58,-62,10,0,0,0,0
61,-66,-36,14,-2,-2,-2,-2
39,-62,-68,26,0,0,0,0
15,-56,-52,8,-2,-2,-2,-2
17,-78,-52,22,-2,-2,-2,-2
17,-50,-66,-12,0,0,0,0
33,-52,-54,10,0,0,0,0
17,-62,-54,-14,0,0,0,0
25,-62,-36,6,-2,-2,-2,-2
17,-50,-50,-6,0,0,0,0
29,-54,-56,24,-2,-2,-2,-2
37,-50,-32,2,0,0,0,0
-1,-34,-38,-6,0,0,0,0
17,-68,-50,14,-2,-2,-2,-2
61,-38,-50,22,0,0,0,0
59,-50,-52,22,-2,-2,-2,-2
17,-32,-44,14,-2,-2,-2,-2
39,-28,-36,22,-2,-2,-2,-2
29,-28,-26,10,0,0,0,0
37,-52,-36,24,-2,-2,-2,-2
21,-28,-36,40,-2,-2,-2,-2
29,-38,-30,6,-2,-2,-2,-2
21,-48,-62,20,-2,-2,-2,-2
17,-50,-36,22,-2,-2,-2,-2
61,-28,2,40,-2,-2,-2,-2
83,6,2,46,-2,-2,-2,-2
61,-4,2,50,-2,-2,-2,-2
-11,-88,-56,14,-2,-2,-2,-2
49,-16,-8,76,-2,-2,-2,-2
15,-80,-68,22,-2,-2,-2,-2
17,-60,-62,-2,-2,-2,-2,-2
17,-52,-56,14,-2,-2,-2,-2
29,-50,-54,20,-2,-2,-2,-2
19,-34,-40,-18,-2,-2,-2,-2
17,-54,-52,20,-2,-2,-2,-2
9,-36,-38,22,0,0,0,0
17,-62,-36,14,-2,-2,-2,-2
17,-60,-54,22,0,0,0,0
21,-52,-62,24,-2,-2,-2,-2
55,-54,-48,14,-2,-2,-2,-2
19,-60,-38,8,-2,-2,-2,-2
37,-60,-40,8,-2,-2,-2,-2
23,-30,-50,14,-2,-2,-2,-2
21,-52,-30,4,-2,-2,-2,-2
29,-60,-46,14,0,0,0,0
19,-30,-32,10,0,0,0,0
33,-50,-50,-6,0,0,0,0
17,-48,-58,20,-2,-2,-2,-2
33,-26,-22,18,0,0,0,0
17,-36,-38,22,-2,-2,-2,-2
