Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-9,-12,8,8,-2,-62,-8,8
-17,-16,-10,6,-14,-44,-18,-2
15,8,0,14,-12,-30,8,6
-17,-4,0,10,-14,18,-4,4
-15,-18,6,6,-14,34,-2,12
-7,-44,22,10,8,60,10,10
-17,-2,0,-6,-10,82,2,-10
3,12,-12,14,10,82,2,-10
-17,10,30,16,-10,112,-2,-16
1,-4,8,16,-8,114,-6,-10
-37,8,18,20,2,124,10,-10
-17,-4,8,-14,-2,92,-2,-20
-15,-6,2,10,-10,82,-18,-10
-39,8,8,8,-10,86,-2,-10
-13,-8,2,-4,-14,68,-2,6
-7,-4,0,-6,-10,60,-8,18
-39,30,8,-4,-18,28,36,4
15,2,38,16,2,12,-22,4
-19,-2,-24,-20,-2,-14,2,18
-11,-16,-30,-24,-38,-42,2,10
-11,-16,10,10,-34,-52,2,10
-13,-4,-14,-6,-14,-46,4,18
-5,-4,2,10,-22,-100,-8,-8
9,-4,-12,-10,-20,-122,-18,18
-19,-6,-8,-12,-8,-106,-22,12
-9,0,0,16,-14,-126,2,22
-19,20,-14,4,-14,-112,2,-10
-1,24,-12,14,14,-94,-2,12
1,2,-18,-18,-14,-108,-2,4
-15,8,-14,10,-20,-94,-8,6
-9,-4,-32,0,-4,-66,-2,4
1,-4,2,14,-10,-62,2,10
-7,12,-18,10,8,-6,2,10
-7,-4,-14,20,-12,18,-22,-12
-13,14,4,0,18,44,0,-26
27,16,-12,14,10,62,0,12
13,16,10,10,-14,106,22,12
55,56,32,48,30,138,16,20
61,44,34,18,30,146,30,22
1,32,8,18,-8,114,2,22
69,36,20,48,26,146,10,20
15,-6,-14,14,-2,114,10,22
31,44,48,64,38,124,28,36
35,28,32,38,26,108,36,22
-19,-8,-12,-44,-6,60,2,-22
13,-8,2,-10,10,28,-10,-20
-17,-8,-14,-18,-2,18,-22,-34
-17,-8,-26,-4,-12,-24,2,-10
-17,-16,-12,-16,-14,-16,-6,-18
-19,-32,-18,-6,-2,-68,-22,-22
-13,-28,-16,-14,-10,-62,-8,6
-15,-6,-14,-2,-14,-92,-2,-26
-7,-6,-42,-16,16,-110,-10,-32
9,-20,-8,-14,-16,-110,2,2
13,-20,-8,-8,18,-132,-2,-20
1,-16,-10,-38,12,-110,2,10
-37,-4,8,-8,14,-98,-10,20
23,22,40,18,14,-94,-4,6
1,16,20,-8,-10,-80,-2,12
-17,8,2,4,-22,-66,-10,10
-17,16,18,10,-4,-46,-22,-22
-13,-4,-16,-4,12,-20,-6,-8
-1,-8,0,16,12,8,-12,-8
-17,-4,16,-12,6,28,-10,2
-17,-4,-16,10,-12,58,-8,-18
-19,-8,2,16,-2,66,-28,10
-9,-14,10,10,-2,76,-10,8
-19,-2,0,14,14,106,-28,-18
-17,-4,2,14,-12,136,-10,-22
-15,16,8,-6,-2,122,2,10
-13,-12,-16,-16,-12,122,-2,2
-7,-16,10,-22,-14,114,10,2
-9,-14,-26,-34,-10,124,-10,-18
-5,-10,-28,-8,-20,92,10,18
-7,10,-6,-18,-14,64,-10,10
15,8,-14,-6,-10,48,-2,2
-5,0,2,-6,-16,18,-6,-20
9,10,10,10,-20,26,2,-10
5,8,8,-4,0,-16,-8,-8
3,14,-26,-6,-18,-34,-4,-18
-7,10,-46,-4,-14,-90,-6,-10
-23,-2,0,16,18,-98,-6,-10
-27,8,-2,-10,-8,-94,10,-10
-13,2,6,16,-4,-110,-2,-20
-7,-16,0,-18,-30,-110,-8,-24
-17,28,8,8,-14,-108,-6,6
7,-4,2,-6,-10,-110,-2,4
-9,-28,2,-6,-12,-112,-2,-16
-7,-16,10,-6,-2,-94,-2,4
-17,-4,-12,-24,-12,-78,-4,4
5,-8,-14,-26,-14,-78,-16,-8
-7,-4,0,-8,10,-20,-12,20
-15,-34,8,10,-14,-4,-8,6
1,-6,10,14,-12,22,-4,-8
15,8,8,10,-6,60,-8,12
-15,-6,-6,-6,-8,82,18,10
-13,-4,40,-4,-4,70,0,22
13,-16,10,-10,10,108,-8,34
-1,-16,2,-8,8,94,-6,-16
-17,-28,-32,-10,0,122,-2,-10
-13,-4,8,10,-16,98,-2,-10
-13,-12,8,16,-10,84,-6,4
