Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-23,-18,4,6,-2,-68,-14,-2
-5,60,10,-6,20,-72,-6,-6
-33,-30,-12,-18,14,-78,10,-4
-37,-20,10,-14,4,-80,14,4
-33,50,8,2,-36,-110,-10,6
25,44,34,20,20,-90,38,28
-1,50,40,56,32,-78,28,34
51,40,52,26,26,-108,-8,-16
-43,-14,8,-4,-10,-96,-34,-8
-13,-26,-38,-24,0,-92,-2,-8
-13,-4,-14,-4,0,-78,4,-20
-17,-8,-22,-6,-10,-62,-4,-22
-43,-6,12,-8,-2,-30,-22,8
-17,-30,-8,-34,4,-22,-22,20
9,-2,-10,-10,-12,22,8,6
-31,16,14,-6,-14,28,-22,0
-13,12,6,14,-14,36,-2,-34
41,12,30,26,-2,114,30,40
49,36,58,28,-2,116,16,24
49,58,44,28,14,144,30,40
-19,-26,-10,-10,-38,114,-24,6
-11,-30,-24,-20,-28,82,-44,-32
-39,-30,-16,-26,-22,70,-2,-12
-37,-26,-14,-32,-34,80,-8,-8
-23,-30,-12,-20,-18,62,-26,2
-63,-14,-12,-16,-12,50,-22,-32
-39,-42,-36,-8,-2,18,-32,0
-23,-2,10,-4,-4,10,-6,2
-19,-26,-12,-6,-2,-16,-6,-8
-7,-26,-12,16,-12,-22,2,-20
-9,-2,-12,-4,-12,-46,-18,-8
-39,18,12,10,-10,-60,6,12
-1,-4,2,12,14,-98,-22,-20
-17,12,-10,8,20,-110,2,-10
-23,-4,6,8,14,-120,10,-10
1,12,2,14,14,-114,6,8
25,12,8,10,-12,-94,42,90
47,28,42,16,30,-100,42,-10
3,18,30,48,32,-68,42,18
-39,10,12,-20,-2,-78,28,2
27,36,18,20,30,-46,42,8
-7,-14,-6,-4,20,-68,-2,-8
-7,-10,-8,6,-12,-22,2,-8
7,-4,10,6,18,-8,-2,-2
-5,-4,4,-24,-10,18,4,98
-33,-4,10,-44,-12,34,4,-4
-39,2,4,-10,10,68,-2,4
-17,-4,-12,-12,18,68,26,-6
-23,6,-10,-10,-2,92,-6,-4
-17,-6,-12,-26,-12,122,14,-4
-17,-14,-14,-16,-44,98,10,-12
57,38,42,28,0,172,52,36
57,56,20,40,30,156,30,22
29,26,52,64,72,120,4,18
-31,2,10,-10,-34,82,2,6
-17,-8,-28,-18,-2,50,-16,0
-39,-12,-6,4,-10,28,0,-18
-31,-28,-10,4,-12,18,-2,-2
-19,2,4,-4,-14,-16,-22,-8
-15,2,20,-16,-8,-44,-34,4
-7,-2,-14,-16,-10,-46,2,-8
-33,-4,2,-10,20,-72,-2,10
-23,-4,10,-6,-10,-70,10,20
-17,-4,22,-16,-10,-108,-2,24
-17,-28,-40,-20,-34,18,-18,-8
-39,-34,-38,-22,-32,18,-8,-32
-17,-30,-12,-16,14,60,-10,-40
-23,-18,0,-4,-12,66,-4,-18
-17,-16,-24,-36,-60,82,-24,-40
23,34,60,18,52,124,20,22
27,22,38,16,34,140,12,24
25,28,46,26,62,140,2,44
-39,-26,-12,-24,-12,66,-12,12
-1,28,48,14,10,124,42,48
-65,-36,2,-2,10,68,-26,4
-23,-4,2,-18,-28,34,-20,-16
27,50,40,12,12,60,30,24
25,42,28,12,14,22,36,28
21,144,64,58,76,18,30,40
-41,8,-2,-16,-14,-36,-2,-8
-25,36,-16,14,-2,-90,-18,96
-19,-14,12,6,0,-70,2,-16
-1,30,-12,14,10,-100,0,-20
-13,-14,-4,6,-12,-126,-10,-30
-5,-20,8,-6,-10,-118,2,4
-13,-4,8,10,-30,-132,-2,-20
1,-12,-16,-16,-14,-122,-12,-4
-17,10,4,6,-14,-112,2,-8
-1,10,4,-6,-34,-110,-22,-40
-13,4,-2,-16,-10,-100,-2,-12
-7,-20,-8,-16,-10,-80,-18,-18
-23,-26,-22,-8,-2,-68,-2,-8
-7,-4,-8,-4,-18,-8,-2,-38
-17,16,10,-6,-32,2,2,-20
-11,2,-4,-6,-2,18,4,-20
-17,-6,-24,-16,-12,50,-2,-10
-19,-26,4,-18,-32,60,-2,-30
47,44,16,-6,2,82,16,8
57,62,84,64,96,162,74,28
1,-16,-12,-16,-8,108,-6,6
1,58,0,6,-12,98,4,84
-19,-4,-16,-6,-14,104,-10,86
-25,10,-4,-6,-12,98,2,-16
-17,-6,-14,-16,-2,94,-2,84
-5,-4,-16,8,14,82,14,-18
-23,82,20,6,-12,50,-16,-6
-19,62,6,0,-12,34,-22,6
-33,28,10,-6,10,16,2,24
-1,10,-12,0,18,8,10,10
-13,-4,-12,14,-18,-20,-26,-4
-23,-4,-22,-38,-10,-48,-2,-38
-7,62,-26,0,-6,-68,-10,-4
-17,16,4,-4,-12,-110,-2,-14
-17,18,12,-4,-12,-94,10,10
15,76,8,10,-2,-118,-10,12
-17,-4,-20,16,-8,-110,-4,-12
-17,-6,4,-26,10,-110,-2,12
-13,-4,-10,2,-14,-112,-2,-16
63,82,20,14,-2,-132,-8,88
-5,-26,6,-8,-8,-106,-2,-16
-17,-2,10,-10,-12,-68,2,12
15,60,84,32,36,-8,28,24
35,56,54,18,42,20,42,132
-31,-12,-12,-10,-6,-20,-18,-32
-15,-30,-14,-2,-12,14,-10,2
-17,-4,-14,-18,-20,58,-6,-14
-15,-36,-2,-16,-8,70,-4,-16
-43,-14,-20,-22,-38,76,6,-8
-17,-4,8,-6,14,92,-2,-20
13,-6,-12,-8,-18,104,-2,0
-15,-14,-12,0,-12,112,-4,-16
-15,-14,12,-22,-2,120,-22,6
-15,-4,-24,-48,-2,92,-10,10
-17,-4,4,-16,-8,92,-10,-16
15,2,12,-14,10,92,-22,2
9,-6,4,-16,-8,60,-22,-16
-5,-14,-6,-4,16,50,2,2
-9,-6,-12,-4,0,16,0,-8
-1,-8,4,-18,14,-4,-2,-8
-17,8,-12,2,14,-46,-8,-18
-1,-6,4,-16,-12,-44,-2,-24
-15,-4,-12,16,-12,-78,-12,-20
1,2,8,6,-34,-94,-34,-18
-13,-4,10,-4,-20,-86,-12,4
-13,-4,4,-4,-12,-94,-2,-4
15,8,-2,-4,-8,-110,-2,-20
-5,-4,-8,-4,-2,-126,-2,-20
13,10,-16,0,-12,-142,2,-18
-17,42,-12,0,-8,-110,-4,-20
-7,12,0,-4,-8,-106,-8,4
1,20,10,-16,-2,-84,-10,12
-15,-10,0,-16,-8,-58,-12,18
-13,4,-10,-42,0,-14,-2,2
-15,-4,4,8,-12,2,-12,4
-15,2,12,-44,-12,22,-12,-4
-7,-8,8,-4,0,60,-22,-34
-5,-8,12,16,10,44,-2,-8
-1,-12,6,-8,26,80,-2,-16
-17,10,0,16,-18,112,0,-16
-5,-4,0,-6,-14,114,-2,-6
-17,18,-20,-8,-12,114,-2,-6
1,16,-4,-18,-12,120,-6,-16
-13,0,-14,10,-12,108,-24,-10
-33,-4,-12,-8,-8,94,-2,22
-11,-14,-8,2,-18,62,-22,8
-9,-30,10,14,-22,68,-8,8
-17,-2,10,-4,-18,46,-12,2
-25,-8,-12,-8,-12,2,2,12
-7,-26,-12,-18,-18,-4,0,12
-17,-4,8,-14,-8,-46,-22,-14
-17,-28,-8,-36,12,-50,0,-8
-33,-8,2,-10,4,-72,-6,-8
-13,-4,0,-8,-8,-100,-18,-16
-13,2,8,-16,-8,-132,-8,2
3,-34,-12,-18,-12,-110,14,4
13,-14,-12,12,12,-110,18,12
7,16,14,12,-2,-112,14,-8
-39,-18,16,-4,-8,-106,-10,-8
1,-2,4,16,-10,-108,-2,-30
-29,2,-8,-20,-12,-110,-10,-16
-13,-4,-12,12,0,-70,-4,-8
-19,2,-2,-16,14,-70,0,4
-47,12,-12,-4,-2,-36,-6,6
-21,-4,-28,-2,-12,-4,-10,-4
-39,-2,-16,-4,-12,18,-10,4
-13,-30,4,-8,-10,18,0,-2
-15,-4,8,-4,-12,58,-6,8
-17,-4,-12,16,12,82,-26,4
-19,12,2,-10,-2,92,-34,6
-5,-26,-8,8,-12,124,-6,22
-15,-14,8,8,-12,118,-4,20
-15,-2,6,-4,-24,140,6,22
-5,-28,0,-10,-10,82,-22,-16
-11,-4,-20,14,10,70,-10,0
25,62,50,18,36,-4,26,48
27,48,30,58,28,12,12,22
-7,12,12,2,18,-94,-2,0
-1,-14,6,-8,10,-52,-22,-20
1,-4,0,-4,-12,-22,-8,-16
-7,-34,-16,8,-12,16,10,-10
25,-20,8,-22,10,8,-24,-8
25,18,46,44,30,84,46,44
-17,-14,-14,-12,10,50,-2,-16
-17,-4,12,-6,10,72,-6,8
-7,70,-18,12,-4,92,-4,96
-1,-6,-16,8,-8,136,-22,86
-15,18,8,12,-18,112,-22,-8
-49,82,6,-4,-12,114,-6,8
-17,-8,-4,-8,-8,108,2,-12
-13,-30,6,-8,-34,66,10,12
-23,66,8,12,18,60,10,4
-15,52,8,6,10,58,10,-6
-25,-4,0,-4,20,50,0,-20
-13,-14,-16,-6,14,48,30,-20
-21,-28,-14,-18,10,12,10,-24
-13,-4,0,-4,18,-30,2,-8
-13,10,-16,-4,30,-68,-2,-14
-7,-2,-24,-16,12,-72,-2,-24
-5,-4,-8,-20,-20,-72,-2,-2
-25,-6,8,-8,-18,-100,-12,2
-17,-8,-44,-16,-12,-116,10,2
-15,10,-20,-16,-14,-128,-24,6
-13,-16,-12,-16,-8,-116,12,12
-17,16,-10,-4,-12,-126,-4,-20
-5,-4,-16,0,-32,-110,-2,-20
-15,2,-2,16,-2,-100,-2,10
-15,18,-20,-2,-14,-68,-2,-16
-17,30,0,-18,-4,-62,-2,-16
9,-4,-10,-14,-12,-4,-2,4
-23,-2,-16,-4,-8,12,22,12
-13,-4,4,-10,-12,28,6,10
-7,-2,-6,-4,-2,60,16,-6
-7,-4,8,-4,-2,82,2,18
-7,12,-2,-6,-10,82,-36,4
-17,18,2,8,-20,84,-4,-26
-27,-4,-16,-4,-4,122,-2,-8
-23,-6,-12,-14,-2,98,-2,6
3,12,-16,-18,-4,130,-22,6
-5,-4,8,-4,-10,124,-8,-2
15,18,6,8,14,106,-16,-4
-5,12,4,14,-2,70,-24,22
-17,12,-14,6,-12,58,-22,-16
-27,-28,-14,10,-12,42,-20,-8
-15,-4,8,20,12,8,-22,4
-3,-6,8,10,10,8,-8,-16
-17,-8,0,14,10,-14,-22,-6
-15,-14,4,-4,10,-46,-30,0
7,-4,8,16,10,-56,-10,4
23,10,-2,12,12,-78,2,4
-19,-14,-8,-4,-10,-66,0,22
-1,-12,-4,-8,16,-106,-8,2
9,-4,-12,8,-18,-94,-2,4
-17,-8,0,16,10,-114,2,-16
-5,-26,0,18,-14,-116,-10,10
-5,-4,-22,-8,-12,-94,2,10
-15,2,8,8,-18,-66,-6,-6
-7,-4,4,-4,18,-68,-10,-16
3,-4,-10,-4,-4,-50,-10,10
25,-4,-2,-16,-14,-20,0,-16
-13,-42,20,-16,-10,16,4,10
-19,-34,10,-6,-10,12,10,22
-17,-30,-14,-10,10,50,-4,-30
-19,-4,8,-8,-12,62,26,-8
1,-14,-16,-16,-14,70,18,-20
-7,-42,6,-4,-16,100,-2,-18
-13,8,-24,-4,-36,98,-22,-4
-33,-26,-26,-8,-8,122,-2,0
-7,-14,-8,-4,-28,98,-2,34
-13,-14,8,-22,14,124,2,22
-1,10,4,-14,-8,94,-6,16
-17,-8,-10,-8,-8,114,16,16
-1,-4,-16,-4,20,60,4,-8
5,-14,-20,-20,-14,48,-16,0
-1,-14,-10,-8,-18,28,-2,12
15,-4,-16,-4,-14,20,0,-8
1,-46,-26,-16,-10,-22,4,18
-5,2,-26,-10,-12,-46,-2,-30
-41,-32,-4,-4,-18,-70,-6,-14
-27,-14,-12,16,-10,-80,-14,-20
-71,-4,-38,-4,-12,-106,-2,-8
-33,-14,-38,-4,-12,-110,-2,-6
-11,-34,-2,10,0,-128,-16,0
-17,-26,-12,-16,-10,-126,14,4
-17,-32,-12,-16,-2,-120,6,28
13,-4,-18,6,12,-110,-2,-8
-15,18,-22,-10,-10,-90,10,8
1,0,2,-8,-8,-66,4,24
-7,-18,-12,18,14,-36,-2,10
-7,-4,-12,-8,14,-20,18,2
-23,-4,2,-14,-2,2,-12,22
