Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-1,-26,-6,8,14,42,-6,-14
3,-14,8,8,10,76,-6,-24
-5,-10,4,8,30,82,16,-16
-5,0,-12,-2,16,106,0,14
-15,-14,-6,-4,0,118,-2,20
-5,-2,0,-4,-10,124,-10,-16
-5,14,10,8,-12,120,-20,-6
-13,14,-12,18,-8,108,-16,8
-11,-2,-6,-6,-8,112,4,14
-33,-2,8,-8,0,68,8,24
-15,-2,-12,10,10,62,-8,4
-1,12,4,18,18,34,-6,14
-11,-2,-14,18,-12,16,0,16
-13,-14,8,-20,-16,-42,-10,-14
-17,-28,-14,2,-10,-62,0,0
-13,8,6,-4,6,-70,-6,-38
-15,2,20,-6,-8,-66,10,-22
5,18,8,-4,-16,-118,-6,32
1,0,20,-2,-10,-132,-22,0
-23,-2,-12,-4,-12,-116,24,8
-33,-2,4,-14,-8,-122,6,12
-25,-2,4,-6,-2,-116,0,14
-1,-6,10,-4,-12,-126,-2,14
-3,10,0,-8,16,-106,-32,-18
-11,22,4,8,10,-66,-6,-18
15,14,2,-4,-6,-68,0,4
-13,-4,10,-6,12,-14,-2,6
-11,-4,10,-2,-6,-4,-20,4
9,-34,-6,12,12,30,10,8
-5,-26,10,-16,-10,42,-20,-2
-21,-6,-6,-4,-6,44,4,-6
-17,-2,-6,-14,-12,66,-22,-8
-25,18,-12,12,-12,114,-22,12
-37,30,0,20,-10,106,-22,-32
-13,18,8,-4,12,106,-22,8
-13,-14,-20,-2,-8,124,6,-10
-17,-2,-12,12,0,114,10,-8
-7,-2,0,16,-6,92,-8,14
-37,-14,8,-36,8,82,-6,8
-5,0,4,-14,12,60,-4,6
-15,-24,-12,-6,-32,62,-22,16
-13,22,8,-14,8,22,-16,2
-21,-24,-12,10,14,12,-16,18
-9,14,0,22,-8,-42,16,8
-13,-6,2,-4,12,-66,-6,-16
-3,10,-16,-18,-12,-62,10,24
-11,-8,4,-2,-18,-100,0,14
-5,-24,10,-6,-8,-118,-6,-8
-17,14,8,10,10,-118,-20,12
27,12,22,10,0,-110,4,44
21,8,10,8,-8,-98,12,22
15,10,12,8,-12,-110,14,24
25,8,14,16,-12,-112,18,22
27,-12,4,18,-2,-84,-16,-16
15,-8,-10,4,-12,-62,-22,-6
23,-4,-10,0,14,-72,-22,-16
3,-4,0,8,-12,-24,-12,-18
-13,18,-12,-4,16,-14,-24,-14
7,-6,-4,2,-8,18,-6,-8
5,-4,10,-2,-12,18,0,-18
-1,-2,-22,24,-2,82,-2,4
-17,-14,10,20,-12,82,-6,-6
-3,10,10,2,0,114,4,4
-1,10,4,22,34,112,4,-18
-5,14,2,-14,18,122,10,-8
-5,14,2,-4,-8,110,0,-18
15,-18,4,-6,0,114,10,-24
-1,10,12,-4,0,104,2,-16
-9,-8,-12,-14,-12,112,-16,12
-25,-4,-10,6,-20,82,20,-2
-3,-10,-12,-6,4,50,14,-8
-11,-4,-28,10,-10,18,-6,-8
-13,-6,-22,-36,-6,20,4,-2
-15,-24,4,-8,-14,8,2,-8
-5,-8,12,-6,-8,-34,-6,-6
3,8,0,12,-22,-62,0,-8
-25,8,4,8,-18,-78,-20,-2
-1,-8,12,-6,-16,-92,-16,8
-17,-6,4,-4,-32,-132,12,-6
-13,-4,10,16,-12,-110,2,-16
-5,-2,-6,20,0,-118,2,0
23,-14,-12,2,-10,-108,4,-18
1,-14,-12,-14,-12,-100,4,14
-5,-12,10,8,0,-108,4,14
-17,-26,-14,4,-4,-78,-2,4
-21,-28,8,-4,-24,-68,-12,4
-17,-28,-6,-4,-14,-30,10,40
-15,-26,0,-16,-30,-4,-16,22
-23,-26,12,-4,0,16,0,24
-17,0,12,-6,-8,30,-6,-14
-5,-4,0,8,14,80,0,4
-13,2,16,18,-12,82,0,-8
-5,-2,4,16,20,108,-20,-8
-1,-2,-12,-4,-32,86,-2,-8
-3,-14,-10,-14,-6,96,-16,6
-5,-6,-2,12,12,114,0,4
-17,-24,-4,-14,-10,82,-8,-8
-9,-24,-12,-2,16,100,0,-6
-17,-14,10,8,16,86,8,-14
-5,-18,0,18,32,62,-22,-8
-21,-2,2,18,22,60,-8,-16
-13,-2,-22,20,-10,10,0,14
3,-26,-12,12,6,-4,0,-6
-11,-2,4,-16,20,-36,4,-8
-5,-4,0,8,10,-68,0,-18
-5,-2,-12,-14,-12,-62,16,14
-3,10,4,8,16,-108,-2,-8
-1,-14,-6,-12,2,-94,10,-8
-17,-32,-6,-12,18,-132,0,-18
-37,-34,0,22,-8,-122,0,20
-11,-20,2,16,20,-110,0,-10
-23,-10,-6,12,20,-110,-2,-16
3,10,0,-4,12,-110,2,4
-13,-6,4,-6,2,-52,0,-2
-5,12,10,-2,8,-66,16,0
-21,2,4,2,0,-42,16,-14
-5,2,4,10,-2,-34,2,4
-17,-4,14,8,12,-18,-6,-8
