Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-25,-10,6,-10,18,44,-2,10
-21,-10,-10,0,18,50,0,-4
-19,4,12,-8,-8,76,-2,-4
-19,16,-20,-26,-12,104,-6,-26
-15,-16,-14,-6,8,124,-6,-24
-55,28,10,6,-22,108,10,-10
-17,-8,2,-6,0,108,-34,-10
-15,10,-2,10,-14,98,-2,-10
-5,-16,-20,0,2,122,-6,2
-25,-16,-24,10,-2,92,-10,-16
-35,12,0,8,-16,66,-18,2
-13,-14,6,14,-18,56,-20,24
-35,8,2,-8,-12,18,0,12
-39,-16,-16,-6,-14,-4,-6,18
-37,10,2,26,-14,2,-12,2
-19,-4,0,16,-12,-46,2,2
-3,-6,-14,-18,18,-68,-2,-2
-9,-8,2,6,10,-70,-6,12
-17,-6,-14,2,-16,-106,2,22
-35,-6,-6,18,-14,-108,-10,-4
11,42,40,38,2,-76,14,34
45,48,50,48,18,-106,14,42
29,36,30,42,12,-78,30,22
-15,-14,-26,-8,-32,-124,-10,-20
-23,-22,-38,-20,-34,-84,-2,-18
47,46,34,28,18,-46,12,4
19,32,20,46,10,-34,14,38
43,28,52,48,56,-20,16,-16
-19,-20,-16,-6,-10,-42,-18,-32
29,30,50,42,-10,56,42,38
73,80,76,54,36,84,38,42
79,90,76,76,36,108,40,22
67,80,70,58,34,124,34,12
65,82,50,26,14,140,16,44
83,48,20,48,30,156,38,12
45,66,50,32,34,156,42,24
35,48,34,16,38,146,30,-8
17,46,18,16,-8,146,26,14
13,36,48,18,18,140,2,10
23,26,38,0,16,124,10,-14
15,16,18,14,24,86,36,6
19,14,6,14,18,60,16,4
21,8,0,16,10,28,30,2
13,14,6,16,14,14,12,22
13,12,2,8,-8,-4,-2,-16
-7,-4,8,-6,12,-46,0,10
3,6,2,14,12,-38,10,-16
1,6,14,10,-10,-94,20,10
-3,24,12,22,16,-110,16,-4
17,10,18,14,10,-98,-2,20
-11,-16,-14,14,-2,-110,0,18
13,-8,12,-4,-2,-134,-2,6
-19,-16,8,16,28,-100,10,6
-103,-108,-56,-54,-62,-172,-46,-42
-95,-70,-68,-62,-46,-148,-58,-40
-89,-100,-80,-50,-46,-132,-68,-32
-93,-70,-46,-46,-38,-108,-34,-36
-57,-82,-78,-62,-20,-72,-24,-42
-51,-68,-78,-44,-14,-46,-24,-42
-39,-50,-62,-38,-34,-6,-22,-20
-43,-48,-24,-44,-14,12,-48,-36
-39,-46,-24,-36,-18,60,-6,2
-35,-44,-12,-24,-14,68,-18,-36
-39,-44,8,-16,-14,82,-8,-16
-43,-28,-14,-6,-46,112,-2,-18
-29,-18,-16,-12,-22,108,-16,-16
-15,-16,4,-8,-8,108,-2,-10
-19,-10,-16,-16,-10,98,-2,2
-15,-16,-8,-16,6,108,-6,10
-43,8,34,-18,-14,62,-22,2
-17,0,-14,-4,-18,60,-10,2
-27,-4,8,-6,-14,52,-20,20
-15,-6,18,10,0,34,-2,0
-79,16,12,-10,-12,2,-18,-10
-13,-14,8,-16,-2,-42,-4,6
-19,-8,2,-42,2,-36,-12,2
-71,-6,-12,-22,-2,-68,-2,14
-49,-6,10,14,-6,-94,0,-4
-11,-4,8,-6,-10,-132,0,10
23,32,20,58,16,-78,38,22
33,26,30,48,10,-80,30,34
1,16,24,40,38,-70,42,44
-27,-28,-46,-16,-8,-130,-22,2
-39,-44,-36,-6,-14,-112,-10,-4
9,-6,-2,14,-2,-46,-2,18
33,16,24,40,30,-38,20,24
3,54,24,18,34,-32,10,38
13,10,8,-16,22,-8,-6,-16
-17,-48,-12,-32,-14,-16,-34,-16
-21,-34,-16,-16,-10,-4,-36,12
47,58,50,80,34,94,46,54
83,74,64,84,34,144,56,44
101,80,72,60,26,136,44,44
53,80,72,42,10,150,38,22
35,54,72,28,14,144,30,38
47,58,56,42,22,162,50,44
29,56,40,14,26,170,28,24
35,34,28,6,18,140,18,34
37,26,50,-6,18,146,18,44
31,16,18,18,26,140,10,18
31,16,24,10,12,112,4,34
29,16,24,26,0,74,10,6
13,26,18,30,24,60,-2,6
3,24,12,-4,14,16,-18,36
-7,16,20,16,30,8,-8,14
-7,10,6,14,18,-16,-24,4
1,16,12,10,16,-46,-8,36
29,-4,8,18,24,-84,-12,10
-7,-16,12,10,16,-84,2,8
19,14,16,6,10,-116,-4,-6
19,6,18,10,12,-110,2,10
19,0,8,-6,14,-108,-2,4
-1,-10,8,-4,26,-108,24,2
-15,16,26,-4,54,-110,2,20
-103,-114,-110,-112,-36,-170,-86,-58
-83,-120,-96,-70,-66,-132,-72,-82
-99,-80,-84,-68,-46,-108,-54,-28
-83,-70,-94,-78,-100,-72,-48,-20
29,42,40,42,32,44,30,44
45,20,72,28,18,52,30,22
21,32,28,42,34,80,30,16
25,34,50,42,28,82,34,18
27,16,24,16,18,112,14,-22
5,16,36,16,-2,124,10,4
3,16,18,16,18,130,2,10
13,20,38,6,18,136,-2,0
21,20,40,6,18,112,10,-6
21,16,20,14,-10,124,10,20
21,20,8,10,14,106,14,34
1,28,4,14,24,106,14,6
-7,16,2,16,32,50,-2,10
13,26,18,-6,14,60,-18,-10
9,26,18,-4,30,20,-2,18
23,20,8,-20,16,2,-6,6
9,26,10,16,18,-16,2,10
-5,10,2,14,-2,-48,-2,-10
-7,-22,8,-4,18,-76,-10,18
13,-8,-6,-2,-2,-78,10,2
13,6,6,8,-8,-108,-2,6
-17,-36,-14,-6,6,-106,14,0
-1,-16,-22,14,10,-108,-22,10
-117,-102,-86,-96,-66,-206,-86,-74
-115,-90,-78,-72,-58,-172,-70,-40
-103,-72,-84,-80,-60,-174,-66,-74
-99,-88,-24,-70,-16,-142,-34,-40
-73,-64,-52,-70,-46,-132,-60,-42
-71,-64,-78,-64,-14,-94,-24,-42
-35,-48,-56,-16,-38,-62,-12,-38
-37,-54,-46,-18,-20,-62,-24,-32
-33,-46,-26,-44,2,-8,-2,-10
-37,-46,-26,-6,-2,12,-26,-20
-21,-44,-26,-6,-14,52,-2,-20
-19,-32,-14,-14,-14,78,-6,-40
-19,-46,-14,-26,-2,68,-2,-18
-13,-38,-14,-16,-14,124,-6,-6
-5,-30,-26,16,-16,98,-10,-4
-15,-28,-26,-6,-10,98,-34,-26
-9,-18,-14,2,12,122,-2,-18
59,68,80,82,104,144,62,22
