Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-5,16,-2,6,4,-100,-6,-20
13,-8,4,8,12,-108,0,-22
9,-16,8,-6,-2,-110,-2,10
15,6,20,-6,4,-110,10,6
-25,22,20,16,-10,-92,14,-26
-1,-4,2,6,12,-78,0,-20
-7,-6,18,16,-2,-64,-26,-2
-17,-6,6,-2,-2,-46,2,-18
25,20,8,-6,-12,-16,2,-16
-17,-4,8,0,20,-14,20,-8
-15,-6,2,-6,18,44,-6,-18
13,-16,12,-6,-12,50,4,-12
-17,-6,10,-16,-8,48,16,-16
-23,-6,8,10,-12,82,-4,-16
-23,56,20,16,14,108,-2,76
-15,-12,-8,-6,4,112,12,-8
-19,-6,-30,-6,-18,136,4,12
17,18,50,42,20,146,34,36
23,28,48,56,30,114,26,6
-15,-4,-12,-10,-24,94,-10,-22
-23,-6,-14,-6,-36,102,18,-20
57,58,50,38,18,116,46,8
33,60,56,52,52,92,44,20
47,66,38,38,22,50,26,2
23,32,38,26,30,-4,22,12
41,36,50,20,28,-14,4,4
29,28,34,18,82,-12,38,18
-81,-48,-24,-48,-32,-94,-34,-42
-87,-68,-56,-46,-12,-126,-52,-44
-57,-50,-34,-48,-12,-134,-34,-34
-75,-48,-52,-40,0,-132,-28,-20
-49,-48,-40,-44,-18,-148,-28,-32
1,-10,-30,-16,-32,-132,-2,2
-39,-44,6,-18,-10,-116,-2,-36
-23,-36,-14,-22,-10,-94,-8,-20
-13,-48,-14,-18,-12,-110,-2,-26
-23,-16,-24,-22,-16,-68,-2,-26
-19,-30,-14,-8,-12,-68,10,-22
-39,-6,20,8,-12,-20,-8,-20
-17,-6,-8,10,-2,8,-22,88
-47,62,8,26,-18,18,-2,-36
-19,-4,-8,-10,-10,34,-8,-34
-23,-6,2,14,-14,66,2,6
-1,-8,-24,10,-34,92,-2,4
-13,-6,2,-16,-8,86,-2,-18
-17,10,-14,10,-2,144,18,-20
-25,0,-14,14,-20,104,-2,-10
1,10,-14,16,-14,148,2,10
-19,-4,4,-16,-8,114,-6,0
-7,-6,2,-18,14,90,12,4
-17,-16,-14,-4,0,72,10,22
-13,-6,-14,-6,-2,58,10,-4
-17,10,6,14,-2,26,2,-4
-7,10,-14,10,10,-2,-6,-2
-7,-22,-18,0,-2,-24,-8,14
-15,0,0,-18,-18,-62,-2,-10
-19,-8,2,6,20,-48,2,-10
-13,14,8,-6,-2,-70,4,-4
-13,10,8,-18,-2,-112,-8,-10
-23,10,2,-8,0,-116,-2,-8
-15,18,-26,-16,-12,-134,10,2
-13,-16,-26,-18,-18,-132,-2,-20
-5,-6,2,-6,-8,-106,-10,-4
13,16,-24,-18,-12,-100,10,-16
3,22,-10,-26,18,-100,-4,-8
1,-8,-14,-6,6,-68,20,-10
-17,-6,8,10,20,-62,-2,6
11,60,6,-10,22,-16,-10,-10
-15,-2,2,-6,20,-14,-4,-8
-43,16,12,8,-10,20,12,20
-5,2,8,6,26,18,-2,-4
-15,-6,-14,-2,0,48,-2,22
-37,-28,-8,0,-12,50,-14,10
-17,18,-14,-18,-2,66,4,4
-17,24,40,-6,0,98,2,10
-17,26,-2,-4,4,114,0,38
-23,-4,40,10,14,124,-2,-2
-21,6,18,18,4,124,0,96
-23,0,8,6,10,90,-2,28
-7,-6,4,-8,-8,112,-4,96
-21,-16,-24,-38,-74,86,-10,10
27,54,24,20,18,108,44,36
31,46,40,38,28,66,26,42
21,16,34,14,32,-4,6,10
-17,0,-2,14,-34,-16,4,-20
-43,6,-30,-44,-60,-40,-24,-18
-39,-36,-46,-16,-26,-94,-18,-4
-21,-6,-26,-8,-2,-106,-24,-24
-37,-14,8,16,14,-102,-6,-18
-9,-32,-10,0,20,-110,-22,2
-1,8,2,-6,-8,-156,-18,2
-1,56,10,14,10,-136,-22,-18
-15,-30,-8,-4,-12,-126,-24,-10
-13,-14,-22,-16,0,-110,-24,-16
-1,36,-2,-22,-14,-108,-10,-4
-37,-28,2,-22,-8,-106,-2,86
-39,-6,-2,-6,-8,-66,-22,-34
-19,-36,0,-6,-2,-42,-4,-8
-49,-10,8,-10,-12,-22,-14,2
-17,6,8,-16,10,-4,-14,-4
-15,-6,-4,-4,26,18,-2,10
-15,-14,8,6,10,60,-22,-8
-9,-18,-14,-6,-12,66,-8,4
-23,-6,-22,-38,14,92,0,4
-25,-30,2,-18,28,108,-6,4
-17,-8,2,8,20,114,-2,0
-7,-28,-6,-14,-2,124,-4,22
-33,6,-16,10,12,140,-6,-4
15,10,-2,-22,-34,104,4,18
-13,0,0,-6,30,82,-2,22
-13,-16,6,14,-2,80,-12,-4
-1,-10,8,-18,-12,60,-10,10
-7,-14,10,-6,-8,28,-6,18
-7,-20,40,-10,-2,28,-6,6
9,-16,2,-10,-10,-14,0,22
-1,-16,-8,-6,-18,-46,2,22
3,-4,-12,-2,20,-48,18,22
-7,-6,-8,-6,-18,-98,2,-10
15,-6,8,-4,-14,-96,0,4
1,-6,8,-8,-8,-102,12,-4
23,14,8,-6,-2,-132,-2,2
-7,-6,2,-10,-2,-118,-2,-10
-15,10,-2,-12,-12,-142,-2,-10
3,-6,6,-10,-8,-132,20,6
3,16,8,6,-14,-132,-8,6
-5,-6,-8,-6,-2,-90,-2,6
-1,8,10,16,-14,-68,-2,-10
-7,-4,-2,8,10,-48,4,12
3,-6,-2,0,-14,-8,-2,4
9,6,-14,-2,-10,-6,-2,-16
3,-6,6,16,4,18,10,14
-7,60,-16,0,-12,60,2,10
-15,0,8,14,12,62,-2,-4
-7,-10,-10,-16,20,82,6,10
-1,16,-10,8,-2,114,-2,2
3,6,-14,-2,-32,108,-22,10
-7,-28,8,12,0,84,-2,12
3,-6,2,-6,-12,114,-2,-8
-5,-22,10,-6,0,98,-2,-20
-1,-16,8,10,12,106,0,-8
-15,-16,-8,-4,-12,106,-14,-16
7,-8,-12,0,10,82,4,-4
-1,8,-12,-6,-2,48,4,10
-23,-4,-2,14,-2,-4,-14,-2
-17,-6,-2,-6,6,-8,-4,12
13,-10,-8,-8,-18,-62,-2,12
21,-6,2,-6,0,-46,-2,-10
11,-6,-18,2,-14,-68,-4,-8
-7,-6,-24,-6,-8,-98,-4,-18
-1,-8,4,-4,-20,-114,14,-20
-15,-6,-14,-6,-20,-110,-4,-12
-1,0,-14,-16,14,-120,0,-20
-5,-22,-8,10,18,-112,-2,-20
-19,-16,-24,8,-12,-94,-4,-8
-7,-16,8,6,18,-80,-2,-10
-7,-6,2,18,-8,-74,-2,-20
-1,-16,-22,18,-12,-46,10,-26
-7,-6,-14,10,-12,-46,-2,-22
21,14,16,20,0,-22,0,-8
-13,10,6,16,18,16,14,-10
-7,-6,-16,16,-2,50,-2,-16
-7,-4,-26,-6,-8,60,-2,-20
-5,-4,-18,-8,-8,76,-4,-10
-1,8,-14,-6,18,82,18,10
