Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
31,26,36,18,14,-54,10,18
21,10,12,10,8,-68,-2,10
-17,16,40,16,16,-78,16,38
31,-4,0,16,-14,-84,-8,10
1,18,10,10,12,-114,0,6
23,22,20,16,16,-118,-2,6
7,16,24,16,-10,-110,14,22
-7,4,20,54,52,-80,2,10
-49,-52,-44,-36,-22,-132,-24,-20
-37,-26,4,-26,-22,-72,0,6
25,18,8,-6,12,-62,-4,12
15,6,8,10,-4,-20,14,34
-39,-66,-32,-46,-20,-34,-34,-52
-51,-36,-36,-24,-42,-16,-62,-20
-23,-28,-22,-36,-34,16,-4,4
-7,-48,-40,-20,-44,34,-10,-10
-17,-30,-24,-38,-2,60,2,10
-17,-46,-12,-44,14,104,10,-10
-23,-10,-28,-16,26,120,-24,-2
-19,-8,12,-4,8,120,18,-34
-23,-6,-20,16,14,120,2,6
-25,-2,20,8,10,116,0,4
-17,-6,-24,-16,-8,106,0,6
-7,10,-36,6,-12,82,-12,12
-39,10,-12,-10,-12,50,-2,2
-17,-18,12,0,-2,50,-18,-4
-7,6,10,-6,-20,28,-10,10
7,-4,8,6,18,12,-2,-20
-7,-4,-16,0,-14,0,-16,-16
-3,10,8,10,12,-36,-10,10
-7,12,20,10,-2,-68,-2,18
15,6,14,6,-14,-100,-2,-4
-19,-34,-12,-48,-94,-112,-2,2
69,32,60,40,-2,-78,34,10
41,54,40,48,8,-106,2,18
27,22,26,14,28,-110,2,-10
-19,6,0,-16,-18,-132,-32,-4
-7,-28,6,28,-22,-92,8,8
47,56,84,66,34,-66,42,44
79,50,72,80,42,-24,34,22
55,48,30,58,28,-34,42,24
45,32,40,40,14,-2,10,38
25,50,30,38,2,28,10,10
45,48,36,42,76,28,4,20
-67,-48,-50,-38,-34,12,-34,-10
-81,-40,-60,-32,-10,22,-50,-20
-83,-60,-52,-30,-4,42,-26,-32
-39,-36,-44,-44,-8,70,-34,-12
41,48,12,26,46,82,6,28
-41,-16,-44,-22,-10,86,-22,-16
-5,-36,-32,-6,-36,82,-10,-16
-25,-8,-20,18,-24,94,30,-4
11,20,40,42,-2,124,12,24
29,28,22,38,30,114,-2,18
-19,-34,-44,-32,-18,60,-20,-8
-15,0,-24,-22,-2,30,-6,10
-29,-6,-28,-16,-34,12,-2,-18
-49,-10,-16,8,-18,-14,-8,6
-49,2,-12,-6,-34,-36,-12,6
-1,-4,-12,8,12,-50,-6,86
-27,-16,-24,-6,-2,-68,-2,-18
-23,16,-12,-6,-2,-110,-8,-16
-19,16,0,14,-14,-108,2,6
15,6,-10,-16,-12,-132,-16,12
-41,-4,-10,-10,-14,-156,-10,2
-13,50,-8,-4,-12,-116,-22,18
-35,6,8,-10,-18,-154,-2,22
63,58,84,84,66,-46,42,54
-25,-32,-14,-18,-72,-114,16,34
-41,-18,-12,-2,-16,-94,24,-10
-17,-8,4,-10,-22,-68,4,106
-17,-34,-12,-6,-10,-36,14,-16
-17,-36,0,-6,10,-28,-10,12
-19,-28,8,6,2,-4,2,-10
-15,-8,-10,-38,12,26,-6,-16
-13,-28,-6,-22,-10,44,10,-10
-17,-4,-16,-18,-12,82,10,-10
-23,10,8,24,18,80,2,12
25,16,8,-8,14,92,38,18
-27,12,8,10,-2,104,-6,-14
57,60,52,50,34,156,44,22
47,46,52,32,18,156,42,22
49,120,72,56,78,144,42,14
-5,-14,-14,-48,-2,82,0,-4
-19,-4,24,-22,-2,28,-10,10
-25,-30,-4,-4,-12,50,-20,80
-39,58,20,8,-10,10,-26,10
-1,54,-18,6,-2,-16,-22,88
-7,-6,-42,-18,6,-8,-2,-10
-39,-4,8,-6,6,-62,-4,12
-25,38,6,0,-14,-68,-2,-2
-23,58,-12,0,12,-110,-22,-10
-33,-22,-12,-48,-14,-108,-26,-22
25,6,6,-10,6,-112,-10,-20
-1,-4,4,-18,4,-132,-8,-16
9,10,4,6,14,-110,-4,-20
-3,-8,4,14,8,-106,0,4
-17,-18,-18,-4,-14,-110,0,-10
-7,-6,0,10,-14,-92,-2,-34
-17,-4,-12,8,-2,-72,10,-26
55,80,84,96,70,8,58,38
-5,16,8,26,12,-46,10,-10
-7,80,-16,-12,-6,-34,-2,-4
-15,-8,-20,16,-2,18,-6,-20
-35,10,8,6,-6,16,-4,-4
-15,36,-6,16,-14,28,-10,4
-33,28,2,-8,-16,70,-10,-10
-19,-36,0,0,-8,86,-34,-34
-23,12,-2,10,-2,124,-2,-10
-19,14,-14,16,18,140,-2,-10
-33,68,0,16,2,108,-2,-12
-25,-4,0,16,18,94,10,2
-7,-12,-24,-6,-8,82,-2,-20
-23,-4,0,-6,12,92,4,-8
13,64,-24,20,16,62,2,2
-23,-20,-14,18,16,60,-2,2
-19,-16,-4,-6,-8,42,4,4
9,-4,10,-6,8,8,-6,-10
33,6,36,16,-2,-24,10,-10
1,14,8,-6,-10,-36,2,12
-55,-8,-40,-46,-40,-68,-12,-18
25,54,38,56,26,-44,40,38
-19,-4,-12,16,26,-108,14,6
-41,-28,6,28,12,-98,2,-22
-13,-44,0,16,-10,-132,-32,-22
-27,-14,14,10,8,-118,8,-20
-19,-8,-10,0,-14,-116,10,-26
-33,-16,0,-8,0,-126,2,-4
-17,-8,-12,-6,12,-100,-32,-34
-17,28,-12,0,20,-78,8,-10
-23,-8,-12,-6,2,-62,-2,-10
-19,-4,10,-6,-10,-48,-2,-8
-7,-12,4,8,-4,-14,14,-4
-17,-4,16,-10,-14,16,0,-20
-19,-16,8,-6,-2,22,-2,-8
-17,16,-12,-4,-8,50,2,10
-23,-4,-12,12,10,82,16,-18
-17,-4,0,10,-2,84,30,6
-13,0,4,-6,-2,82,-2,-6
-17,8,20,-8,-28,114,10,6
-7,66,4,6,-2,114,-4,-2
-1,-4,8,-6,-10,136,-2,6
21,16,14,16,-10,82,12,-4
-19,8,40,40,-16,94,2,108
-1,2,20,40,-2,70,-48,2
47,58,52,56,18,82,16,38
45,48,54,38,16,86,2,42
7,48,100,64,82,70,60,22
-25,-28,-12,-6,-2,-14,-8,0
-23,-26,-12,0,-14,-36,-42,-20
-43,8,20,8,-14,-68,-6,-2
-9,-16,-12,-4,0,-94,14,-26
-17,-28,-8,-6,18,-110,-4,-4
-17,-16,-14,-6,-4,-126,-4,-8
-39,0,4,14,-14,-110,2,18
-39,-30,-12,-4,-10,-110,-24,-16
-39,8,4,-6,-2,-112,24,4
13,-20,-44,0,-14,-112,-18,-8
-33,-30,8,-6,-10,-100,-2,10
