Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
3,-16,-16,-2,-14,-24,-4,-6
7,-4,18,-2,-14,-66,-6,-8
-7,10,4,-2,-16,-78,6,20
-17,8,4,-14,16,-80,6,10
-17,-2,8,-24,-12,-108,0,-4
-1,-4,-12,-6,-4,-92,2,-20
21,-6,-12,-8,-14,-110,2,12
9,-8,-12,-20,-34,-110,2,6
1,-28,-10,-2,-12,-108,6,-16
3,-2,-10,-2,-16,-78,6,-20
21,12,4,-6,-12,-90,-14,-14
9,-8,10,-2,-2,-44,2,6
-7,8,4,-2,-22,-20,2,2
-17,-8,-12,0,10,12,-4,-8
-11,10,-22,18,-14,22,0,10
-39,-12,-30,-16,-10,20,2,4
25,-2,-28,8,-18,82,0,4
-11,-16,-12,0,-8,108,2,24
-15,-6,-12,-14,-4,114,2,24
3,-4,2,-24,-2,104,-4,24
-5,-4,10,-6,18,112,2,12
-13,-4,-28,-2,0,122,-14,-8
1,-30,12,10,-6,124,28,16
-5,-20,-12,-2,-14,98,0,10
5,-16,-12,-14,-18,92,2,0
-7,-16,10,16,-12,82,0,4
15,-4,-12,-2,-10,48,-10,12
-13,10,-12,-14,2,20,-14,10
-7,-6,10,-2,-12,10,-8,4
1,14,0,-2,10,-10,0,2
1,10,4,-12,-12,-16,-18,-8
-9,-12,-14,-22,-4,-46,12,4
3,10,-24,-6,-10,-72,-2,12
-27,0,-12,-6,-2,-112,2,14
15,6,10,-4,-14,-110,18,14
-5,10,-12,-4,-22,-100,2,12
13,-4,2,18,-10,-110,2,8
3,-6,-10,-14,-2,-120,12,10
-7,6,0,-6,-2,-100,-4,4
-7,-4,-12,-42,8,-84,8,-6
-7,-4,10,-4,14,-78,-14,-2
-7,-4,-20,-14,-14,-66,6,-6
-19,-8,-10,-14,-2,-20,-18,8
-17,-4,10,18,24,-4,-18,-18
-7,-16,10,2,-20,28,-6,-8
-3,14,-12,28,-12,28,-20,-20
-39,-4,4,-16,-10,66,4,-16
-51,-26,-22,-4,-34,82,0,12
-23,12,-12,-2,-12,82,4,12
-21,4,10,-18,-14,124,0,12
-19,-4,10,-2,-14,84,2,6
-17,-6,-4,-8,-2,122,20,0
-17,-4,-16,14,-6,124,2,-8
-17,-10,8,4,-14,86,-22,0
-5,-12,-12,-4,-12,58,-4,-8
-13,-16,-6,-2,-14,60,2,-20
-1,-8,-10,-2,-10,60,12,-8
-19,8,-10,-2,-14,22,-20,4
-17,18,-12,10,-24,-2,0,-20
-1,-4,10,10,-2,-8,-8,-8
3,-4,10,-2,16,-22,6,-4
15,-4,-14,-18,-14,-72,6,-8
-7,6,-22,-8,-10,-106,2,12
-7,-4,-4,0,-14,-80,-2,0
-13,16,0,-20,-14,-126,2,6
-5,12,0,-34,-10,-118,4,12
-13,-28,-12,-14,2,-126,2,32
9,-4,-12,-14,2,-110,32,20
-5,-26,10,-18,18,-110,12,8
-7,-4,6,-6,26,-76,2,6
3,-4,10,-40,-12,-92,2,-20
-15,-16,-10,-12,10,-60,2,18
-11,-16,-2,2,-18,-34,4,10
-13,-28,2,18,-8,-14,4,4
1,-16,-10,20,-14,18,0,12
-1,-2,0,-6,6,40,12,-12
-1,-16,-12,-14,16,80,14,-4
1,-6,12,-14,-20,82,6,-20
-7,-4,-6,-12,-12,120,14,-12
-1,-16,14,8,-10,120,-18,-24
5,-6,-4,-2,18,124,-6,8
-5,12,10,2,-10,118,4,12
25,10,20,8,-10,128,-4,-8
3,0,30,-18,-22,94,-6,14
1,-4,10,-2,10,82,0,10
-7,16,-10,-16,6,88,-4,4
-5,10,-12,-16,-8,60,6,4
27,-4,10,-2,-12,52,12,-12
1,-4,-12,-20,10,14,4,4
-17,-8,-12,18,2,-10,-20,-8
7,8,-2,-2,-10,-46,4,10
21,-6,20,-14,14,-66,0,2
1,-10,8,-6,4,-94,0,12
-1,4,0,-6,10,-110,12,8
3,8,6,-8,-10,-116,4,10
-15,-8,-12,-4,-14,-120,-8,-8
-17,-4,4,-8,14,-116,12,4
-15,16,4,10,-10,-106,-8,8
-15,10,-12,18,-2,-100,14,18
-5,-20,4,10,4,-78,-4,-16
1,-14,-12,10,-2,-86,12,2
13,-28,10,-10,-2,-72,2,-4
-7,-30,-12,16,-10,-44,12,10
-17,-14,-20,0,16,-4,0,-20
-1,-28,-6,-2,0,18,4,20
-7,-42,10,-2,-14,48,0,10
-13,-6,-20,0,0,62,2,-12
-17,2,-12,2,-14,92,0,12
-13,20,10,-2,16,114,12,2
-1,-4,12,8,28,124,-14,6
-13,-4,10,12,12,126,18,12
-7,-16,14,-8,20,138,0,4
-17,-8,-12,-4,-2,108,-4,20
-15,16,-12,-16,0,114,12,-8
13,12,-12,-2,-10,92,-8,12
-15,8,-10,-2,-8,62,-10,10
-15,14,12,-14,-14,18,4,4
3,-6,-6,-18,14,16,-4,-6
-1,8,4,-22,-2,16,2,-8
-5,-4,20,-14,18,-20,-18,-6
-7,-8,4,-8,10,-44,2,4
3,8,-12,-6,20,-80,-4,-4
-17,-14,0,-6,14,-100,2,2
-13,0,-10,22,10,-92,-18,2
-5,-4,-12,18,6,-70,-4,-8
-7,-36,-12,8,-2,-116,2,18
-7,-20,-6,-2,-12,-132,-6,24
-3,-16,4,18,14,-110,-4,12
-1,-16,-18,-6,-10,-100,6,10
-5,-26,8,14,24,-84,6,-18
23,-14,-12,10,-2,-46,4,-4
-17,-6,-12,-2,16,-42,14,4
-1,-16,-18,10,-4,-20,-4,-6
1,-28,10,-2,-2,-2,-18,-8
-23,8,10,-8,12,12,-20,-2
-1,-20,4,-4,20,34,2,8
-1,-8,-10,-8,22,66,0,24
-7,16,4,-14,-14,80,4,24
-5,-8,-12,-14,20,114,-4,-16
-37,-10,-12,-24,-2,82,2,12
-5,-2,-6,-2,0,114,-8,14
9,-4,-4,-2,-2,124,-6,8
-13,-2,-22,2,24,138,4,-10
25,-16,8,-2,-10,92,-6,18
-7,-2,-14,-14,-14,76,14,-10
-17,-8,10,-2,-14,74,-6,-6
25,-6,10,8,18,64,6,22
21,-8,8,24,30,18,6,10
15,-4,2,-6,10,8,-4,-16
-1,12,12,10,8,-20,-4,4
9,12,10,10,14,-36,-6,-18
27,-4,-10,20,-14,-64,12,-16
9,12,10,18,16,-80,0,10
11,28,-12,2,-14,-94,2,-4
-5,-8,4,8,18,-108,2,10
-5,-6,8,-2,-14,-112,16,-16
-13,-16,-12,-14,-14,-110,18,0
-7,-2,22,-14,-10,-92,-4,-6
9,16,4,-22,8,-116,10,2
-23,16,-12,-2,-34,-98,10,2
1,10,10,2,-4,-78,0,-8
15,8,-12,-8,-20,-62,12,20
9,12,10,0,-6,-48,18,-16
21,-20,0,-2,-18,-34,-8,-8
-3,-2,-12,-6,-18,10,2,-16
-3,-8,12,-18,12,44,2,6
-1,-4,4,-2,2,60,-4,-18
-7,-20,10,22,-14,84,2,6
-7,-4,-12,-4,-10,118,4,12
