Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-9,-14,8,6,-24,-100,28,20
35,18,50,48,2,-100,30,12
-3,56,58,46,2,-82,24,32
35,60,40,48,46,-62,40,52
-17,-36,-30,-8,-26,-112,-26,12
91,110,98,96,26,16,58,88
71,92,84,48,30,16,48,56
75,80,84,50,22,38,44,54
61,82,72,48,10,60,42,24
91,60,72,58,20,80,38,44
79,32,42,28,18,92,10,12
49,36,40,44,2,84,28,12
49,44,52,38,-18,136,18,44
27,60,8,-4,4,118,18,14
1,32,50,10,6,144,2,12
3,32,40,16,6,124,18,-16
21,26,10,10,-18,120,18,12
1,28,26,18,-20,124,40,8
-15,32,10,42,-10,100,14,2
15,20,8,6,-22,78,-2,8
-7,16,20,8,18,60,10,38
-1,28,8,24,2,16,12,18
-3,20,12,16,6,6,14,12
-17,14,2,16,4,-36,-2,12
-5,2,10,16,2,-48,2,6
21,12,2,16,-18,-68,14,10
-15,8,12,0,-22,-90,-2,10
-19,18,8,18,0,-108,-10,18
-25,-18,-40,-6,22,-144,-50,-24
-125,-74,-96,-94,-86,-196,-80,-40
5,16,28,42,4,-112,-2,24
3,28,12,40,-10,-110,18,22
11,16,6,32,6,-96,14,24
31,22,8,54,10,-86,14,36
23,16,18,10,-26,-72,36,20
-1,12,2,26,-16,-80,8,16
-15,32,8,12,-10,-36,10,24
-5,10,2,16,-10,-2,-2,-6
-17,-6,2,10,0,20,20,24
-21,16,24,16,10,28,2,14
1,-4,2,-2,-6,58,-24,12
-17,18,38,14,-10,86,14,16
13,16,0,6,-10,98,8,-8
-13,16,6,6,-10,124,-8,8
11,-6,8,16,-22,122,-18,6
-1,10,18,14,16,114,0,22
-1,12,8,-6,18,110,2,18
-1,8,-14,-6,-10,96,12,8
-9,2,18,-6,-20,82,8,24
-5,-2,-2,-6,-10,78,-2,8
-23,36,8,-6,-18,40,-4,10
-7,4,24,10,10,28,20,14
-17,8,8,-4,10,18,0,6
-103,-80,-78,-112,-32,-72,-82,-52
-145,-116,-108,-120,-116,-132,-46,-46
-17,-34,-14,-48,-10,-80,-18,-26
-67,-62,-14,-38,-22,-134,-24,-34
-25,-42,-38,-46,-22,-100,-12,-14
-41,-30,-46,-14,-20,-120,2,-8
-37,-28,-12,-8,-10,-110,-10,-2
-19,-10,-34,-46,-22,-130,-12,-20
-49,-36,0,-12,-18,-132,-2,-18
-19,-6,12,-4,-18,-112,-2,-6
-13,4,-12,-6,-4,-96,-10,12
-5,-4,-14,-6,4,-72,-24,20
-11,-2,-8,-6,-18,-52,10,-8
-17,16,8,-4,-8,-44,2,42
-65,-66,-46,-64,-46,-44,-36,-40
-27,-6,-20,-20,-22,18,0,4
11,-20,20,-4,-16,64,8,0
3,26,8,-4,-16,66,2,6
-59,-48,-30,-48,-44,72,-26,-10
-65,-28,-32,-16,-22,84,-50,-20
-61,-30,-46,-42,-20,82,-34,-20
-45,-4,-16,-60,-16,84,-54,-12
-37,8,-24,-20,-46,102,-22,-18
-27,-18,-46,-4,-22,118,-24,4
-49,-16,-24,-6,-4,104,-4,4
-39,-16,-24,-8,8,82,-18,-20
-21,-26,-24,-4,-22,54,-2,-40
-27,-28,-24,-4,-22,40,-2,4
-11,-10,-2,0,-18,36,0,12
-27,0,-18,-8,-8,16,14,20
-17,-16,-8,-16,-16,-24,10,24
-7,-6,6,-4,2,-44,-10,24
5,-8,-14,0,-18,-64,2,-8
-21,-4,-18,-8,-22,-108,-2,-16
-13,16,-14,-12,-16,-100,10,-4
5,-4,8,16,-18,-110,18,-8
-39,-16,8,-4,-22,-112,4,-12
-17,-8,-12,-16,-22,-112,2,28
-23,-8,8,-20,-16,-94,-2,-8
-1,-6,6,0,-20,-102,0,-20
-3,-14,-6,-10,-20,-100,-2,-4
-7,-24,-14,-16,-18,-72,10,2
5,-8,0,-8,-18,-68,-6,-16
-13,-4,8,8,-6,-28,-4,-18
-7,-20,-8,-42,-4,-4,2,-8
13,-4,8,8,0,28,8,-8
25,-6,4,-4,-16,30,-8,8
-11,-8,2,14,16,62,6,-18
-5,-4,-16,-6,-6,84,-2,0
-19,10,-14,-8,-10,92,0,-8
-7,10,0,16,-18,-54,-2,-16
-17,-8,-2,-16,-18,-36,2,-12
17,-4,-12,-8,-22,8,14,-8
-17,2,-12,-4,-22,18,2,10
11,-4,4,0,-22,60,-6,24
-23,16,6,0,4,64,-2,10
-5,-4,4,-8,10,76,-36,12
-5,-4,0,-4,-18,100,-2,-10
-9,-12,8,12,-14,114,-14,-4
-5,-14,-4,-16,-12,124,-2,6
5,18,14,-26,-24,108,-22,-8
-5,-4,-12,-12,-6,106,-4,-4
-15,-4,4,-8,-10,82,-4,-8
5,-20,-16,-6,-24,86,2,-20
3,8,-12,8,-10,64,-2,4
-1,-2,-36,8,-10,40,-22,8
-13,20,-14,-12,-22,-2,10,-8
7,-14,-12,-22,-6,-34,0,2
-5,-2,8,-6,-18,-38,4,-18
-1,-6,20,-16,8,-68,-6,4
-13,-4,-24,-16,-24,-72,-22,12
-1,-4,-12,14,-32,-74,10,-4
-1,-28,-14,-16,-2,-112,18,24
-11,-6,-20,-4,-24,-100,0,6
15,8,20,8,-22,-114,6,12
21,2,2,12,-28,-108,4,-4
-19,-28,-14,6,-12,-106,-6,-38
-7,12,-28,0,-22,-118,10,4
-17,-2,8,-4,-10,-70,2,2
-37,-20,-28,16,-18,-94,-4,-10
-35,-6,-12,8,2,-54,0,-20
-21,-4,-12,-4,-22,-36,2,12
5,-2,-12,8,4,-16,-22,6
-13,-8,8,10,-12,16,-10,-4
-19,-14,-10,-8,-22,36,-2,4
-13,8,2,-4,-22,60,-6,6
-21,-4,-12,-4,2,96,8,-14
-13,12,2,20,0,92,12,4
-11,-4,4,16,10,122,-4,-20
-5,-4,10,-4,-22,108,-18,8
-29,-26,8,8,-18,108,6,4
-1,8,14,16,-22,94,16,2
-3,-14,12,-4,-20,120,-6,12
-17,12,0,-20,-20,94,2,12
-17,18,10,12,-14,68,0,12
-5,18,-10,8,-28,56,-4,12
-25,-4,-12,-26,-36,28,-10,18
-17,2,6,-6,-28,-6,-2,-2
-19,12,-18,-4,-22,-34,-10,-4
3,-4,4,2,8,-42,14,8
-13,-6,-10,14,-22,-66,-2,-20
-21,-8,-4,8,4,-84,-6,12
-17,2,-2,20,26,-122,-10,-2
-17,-14,2,14,2,-116,12,-28
23,10,10,-4,4,-112,10,22
-3,-4,-16,0,16,-108,16,-16
7,-8,22,2,0,-108,6,-8
-1,2,-16,16,-10,-112,12,2
11,-2,8,-2,-22,-80,14,20
-5,-4,8,16,-20,-68,8,20
-5,12,10,-8,-10,-48,18,4
-21,16,-2,12,4,-30,-2,4
5,28,6,-8,-18,0,0,14
-3,18,-4,-14,-22,18,2,4
-13,12,8,-8,8,54,-18,24
15,12,-14,4,-22,80,2,12
-25,-8,2,6,-24,94,-20,20
-5,20,-14,10,-10,108,-22,4
-3,-2,-12,-14,-22,124,-10,12
-13,-4,-12,-8,-22,122,-18,12
-11,10,2,0,-22,132,-2,12
-13,-4,-8,-2,-12,122,-22,20
-9,2,-2,8,-18,100,-2,4
-13,-6,2,-10,-12,82,-4,12
-17,-12,0,6,0,80,2,4
-5,-4,-16,-14,4,40,6,-20
-5,-4,-12,16,16,20,-22,-16
3,12,-28,16,-20,-32,10,-8
7,8,-12,-6,-26,-60,-12,12
-11,10,4,8,-20,-40,-8,8
-5,-4,-12,12,-10,-64,-2,24
-3,-2,0,0,4,-96,10,10
1,-16,-12,-16,2,-100,0,-10
3,0,-8,-16,-20,-112,-8,-6
-21,-8,4,-6,8,-120,-22,2
-5,-4,4,-10,-12,-112,-4,-14
-15,-4,-12,-8,-18,-116,-6,8
-11,-14,8,-18,-10,-90,0,6
13,-4,-4,-6,-10,-80,-16,-6
-1,10,8,-8,-22,-72,12,4
-5,12,12,16,-22,-48,-2,-14
-5,-4,12,8,-22,-20,-20,-10
15,16,10,14,-22,-4,4,10
-13,-16,0,8,4,40,4,-4
-23,-26,4,-6,-18,56,10,22
-5,2,-8,-8,-18,62,2,22
-13,-14,-14,-8,-16,112,-6,22
15,-4,-22,0,0,122,-22,14
1,12,4,-24,-22,112,-2,24
-1,-4,2,-4,-16,124,-2,-4
1,-4,-24,-4,-18,106,-2,2
-17,-14,-12,8,-26,112,-6,12
-13,-14,8,6,10,108,-20,10
-11,-14,12,-2,10,64,-12,-2
-17,-2,-8,12,6,80,2,20
-5,-4,-10,8,2,60,4,2
7,-24,8,16,-18,16,-2,-16
-15,-30,4,-8,-4,-26,8,12
21,-20,-12,-4,-8,-24,18,-14
1,8,8,-4,-22,-48,10,8
15,-34,8,12,-22,-68,-2,-2
-11,-44,8,-12,-22,-100,0,4
-5,-4,-12,16,10,-116,8,-14
-13,-16,2,-2,-18,-132,26,-16
-13,-12,6,6,8,-114,6,12
-17,-14,-12,4,-12,-112,10,12
-1,-4,-2,16,-16,-94,4,4
-17,-8,2,10,-10,-110,-2,-6
-5,-4,8,-4,10,-74,-2,-20
1,12,0,8,-26,-60,-6,16
-9,-4,0,8,8,-68,-22,2
3,12,8,8,-10,-38,-2,-12
-7,-4,4,28,6,-4,-2,12
-19,-4,4,16,-20,40,-18,18
-13,18,6,12,-22,58,-2,4
-13,-4,-10,6,0,80,-6,4
-15,-4,8,10,-22,92,8,-8
5,-2,-16,2,-10,114,-2,-4
27,20,12,10,-10,112,10,20
47,-8,6,-4,18,124,40,22
5,-6,-20,-4,-10,112,14,-16
-1,-4,4,0,6,142,10,-10
-5,-2,-2,12,0,106,-8,-32
1,0,12,-16,-22,60,-2,12
-1,2,-8,-12,2,78,2,4
-17,-4,0,8,10,38,2,10
-23,18,6,14,2,20,-34,-8
-5,-4,-12,-16,-10,22,0,-8
-33,-8,8,6,8,-26,14,-12
-15,2,22,-4,-6,-68,-2,-18
3,16,8,0,10,-82,2,-8
-5,-14,-8,8,4,-100,-6,-16
-17,-8,-14,-2,-18,-106,-4,-8
17,8,12,-6,-26,-132,-2,-18
27,12,0,-24,-8,-114,38,-20
-49,-4,-6,-16,0,-118,30,-8
-25,-4,-8,-22,-2,-106,-2,-14
-17,-36,0,-6,18,-110,-6,-34
1,-4,-10,-18,-8,-96,-2,-16
-45,-6,-12,-6,-10,-80,10,-30
-33,-16,-24,-10,0,-48,2,-16
-1,-14,2,-6,6,-18,-6,-8
1,-18,-12,8,10,6,10,-20
-45,-12,6,-4,10,28,-26,-12
-13,4,2,-4,-10,48,-2,8
-25,2,-10,6,0,58,-2,20
-21,-4,-12,-8,-18,68,-2,12
-15,-14,-14,-36,-10,80,14,-10
-17,-26,-8,16,-10,98,-6,-8
-17,-4,-12,-4,-16,98,6,4
-11,16,8,6,10,144,4,10
-19,16,8,-4,-10,96,-14,-18
-5,2,-12,-8,-22,94,10,-18
11,16,-12,16,-10,70,-2,-8
-13,2,-44,-8,-10,62,-2,-8
-13,-16,-12,-44,-26,18,-6,-4
-17,12,4,-8,-22,28,-2,-8
-5,12,0,-8,-8,-4,6,10
-17,2,10,8,-40,-36,10,2
-5,12,-14,-8,-22,-70,10,2
-13,16,4,-8,4,-72,-2,4
-17,-20,-8,8,22,-92,-10,-8
-3,10,-12,28,6,-92,-2,-16
-17,8,2,-4,-4,-106,-2,-16
21,12,2,14,-14,-116,-2,-16
3,2,-8,-2,-16,-112,-2,-14
-9,-14,-8,-12,2,-104,4,-34
11,-4,-12,-16,20,-112,-8,-16
-17,-4,0,-16,-6,-100,-10,-18
-13,0,-14,-4,-10,-70,-2,4
1,12,0,0,2,-48,-8,0
-13,2,12,8,-20,-34,-12,-14
-15,-4,-16,6,8,12,-4,4
-25,16,4,6,6,48,4,4
-13,-4,-24,-16,-18,56,0,-4
-11,-6,-8,0,-18,68,-6,-16
-11,16,-2,-8,6,92,2,6
-13,-4,0,16,-18,92,-10,0
-5,8,-14,-16,-6,122,4,-18
11,-6,20,-16,-30,110,-10,12
-17,8,6,-8,-18,96,-8,-14
-13,-14,-20,-4,-10,112,14,18
-13,20,6,6,-14,92,-8,-14
-5,8,4,10,0,82,-6,-2
11,8,-14,0,-26,64,-2,20
21,-14,-12,0,-14,20,-24,2
-5,4,-12,-8,-22,28,-2,20
-25,-8,8,16,12,-8,10,-8
-13,-16,-24,-16,-10,-18,-2,8
-9,-16,-4,-2,6,-64,8,-16
-17,-4,-12,16,8,-68,-2,-38
-13,16,-8,12,2,-96,-2,-18
-13,-2,0,8,-18,-116,-8,-20
3,8,10,8,10,-98,-6,-18
