Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-17,-28,10,-8,-10,-46,-10,-14
-13,-4,-10,-4,-2,-68,-2,20
21,10,0,16,-10,-90,0,12
33,2,4,-2,-2,-80,-2,8
23,8,-10,-6,0,-110,2,2
3,32,-12,12,14,-102,-12,18
25,-4,-12,6,18,-110,0,12
25,12,-12,-16,14,-126,-10,12
9,18,-12,-4,0,-94,-2,12
-7,10,0,14,20,-68,0,-8
3,-2,8,16,14,-66,-2,10
1,-4,14,-10,-8,-28,6,-12
-5,2,8,-2,4,8,-12,-18
3,-4,-14,-4,0,18,4,4
-5,-30,8,14,-20,58,-10,-20
3,-8,-20,12,10,74,-18,-8
15,8,-14,-4,6,92,-2,4
9,12,10,-4,0,82,-2,8
-17,12,-4,16,-12,98,-2,8
-23,-4,-22,-10,0,124,-22,8
-15,-4,4,-10,-12,124,-22,-8
-13,-4,4,-18,-4,108,-28,18
-5,-20,8,-2,-8,82,-12,12
-7,-20,4,8,0,86,-10,-8
-17,-8,8,14,10,76,6,-8
-17,-4,0,-4,12,50,-2,-8
3,-8,-10,-8,-12,20,0,-20
-11,-14,-12,8,-10,18,-24,-6
-19,-6,-12,-2,-10,-16,-22,0
-7,12,-16,12,-2,-48,-6,8
-37,-8,-12,-6,12,-70,-2,8
-23,2,-6,4,12,-94,-2,8
-39,4,10,12,-10,-100,-10,-16
-19,-6,-20,-10,-12,-110,-2,-6
-17,-4,-10,-6,-34,-136,10,-8
-5,-16,-10,8,-32,-110,10,-20
-9,-2,0,-4,-12,-130,10,2
-17,-2,8,10,-10,-108,2,2
-17,10,4,-8,0,-92,20,12
-15,16,-12,0,-2,-70,2,2
-5,-4,-10,-4,-10,-72,10,14
-17,6,-24,-4,-8,-36,10,-8
-39,12,0,14,0,-14,-8,-6
-13,20,-6,4,14,-2,2,-16
-15,-10,-4,-10,-12,18,-2,14
-17,-28,-6,-26,-12,82,10,24
-1,-6,-12,-24,-12,98,12,10
-17,12,8,12,-18,70,-8,6
-19,12,-14,-16,-10,112,12,4
-19,-30,-12,-2,-12,120,6,-20
-15,-28,-14,0,0,114,-8,-24
13,-4,10,-20,-12,114,-2,0
-17,-34,-14,6,-6,96,2,0
-5,-4,10,-4,14,62,2,-16
-35,8,8,-20,14,56,-14,8
-17,12,-12,-8,-16,48,2,2
