Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-7,58,26,-98,-86,-136,0,24
-7,36,44,-68,-70,-156,18,28
-19,54,26,-76,-92,-168,2,24
-33,16,4,-58,-8,-144,-8,12
-41,-6,-2,-62,-6,-140,-2,2
-9,4,0,-68,-16,-132,-8,16
-1,-6,-26,-38,-14,-112,-2,14
-31,-6,-14,-20,-6,-48,-8,6
-11,-16,2,-8,22,-62,-2,20
-13,-50,-18,118,56,16,-12,-20
-17,-48,-26,72,46,60,-8,-32
-5,-38,12,78,54,62,-10,-36
-17,-8,12,94,28,80,-4,-8
25,-16,12,64,44,118,-2,-30
27,-22,2,60,26,136,-2,-20
-7,-36,20,44,16,144,10,-12
15,-10,32,48,14,140,-2,-16
3,-6,-22,28,-16,144,0,-16
-1,-8,0,24,26,144,-10,-4
-9,-18,-14,42,10,124,-24,-16
13,-4,18,18,14,108,-2,-18
-9,-34,-2,28,22,126,-6,-8
-5,-10,18,-4,6,80,-2,0
13,-16,-10,0,12,62,2,6
-21,-6,18,16,4,38,-4,-8
-5,-18,4,-18,20,16,-24,-8
-5,-14,2,10,-18,-8,10,8
-17,-30,-14,-6,-6,-20,-10,-12
-5,-10,6,-8,-8,-60,6,10
-35,-38,-28,-8,-24,-74,-4,-18
-11,-36,-10,-8,-8,-80,-2,-20
-13,-18,-14,-12,-2,-98,-12,-18
23,-16,6,10,-22,-112,0,8
-7,0,12,-4,-26,-128,-4,-14
-17,-4,-2,-18,-10,-108,14,2
-17,-10,8,6,8,-100,0,-20
-17,-8,-12,-4,-6,-108,14,-28
-3,-22,-22,-4,-18,-60,-2,-4
-7,-12,10,-8,-18,-56,-2,-20
3,-32,4,-16,-14,-32,-2,-34
-15,-6,6,14,-6,-14,8,-38
-15,-28,0,-20,10,16,-34,14
-37,-38,-14,2,-6,28,-2,8
-19,-18,-34,6,12,56,-2,4
-17,-18,-24,-4,0,80,-2,20
-23,-6,-18,6,-2,94,-24,-20
-5,-10,-34,0,-2,110,-4,8
-1,-10,-8,-20,-6,106,-2,2
-37,-16,-14,18,-2,120,-8,-20
-5,10,-16,-4,-22,106,8,-8
-1,-6,-26,16,-34,136,-8,-16
-17,6,-10,-4,-8,86,-4,-4
-17,14,2,-14,-16,60,-6,-32
-13,-14,-14,-20,-10,44,-2,-18
-1,-30,-14,-12,-26,0,-2,-4
-17,-36,4,8,-18,-6,-8,-16
-5,8,8,8,-32,-36,-26,4
-3,48,22,-100,-168,-134,6,28
15,80,76,-72,-102,-156,-2,34
-13,26,38,-80,-102,-144,-4,24
-5,28,36,-80,-112,-162,8,24
-17,46,18,-48,-102,-140,-2,24
-13,46,20,-48,-78,-164,-22,24
