Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
-17,14,8,4,-14,106,2,2
-7,-26,8,-14,-2,120,-12,-14
1,-4,-24,12,-16,104,10,10
-1,-14,-4,-2,18,122,-2,12
-13,16,-12,-14,-14,116,0,24
3,-4,-42,-16,-14,112,0,8
-7,-30,-16,-4,-18,92,2,18
-13,-2,-22,-20,-12,64,10,24
-15,-12,-22,-4,-2,56,-2,4
-7,16,-10,-18,-18,8,-14,-14
-17,10,2,-8,-12,-16,-24,-8
-7,-4,-16,-24,-14,-32,2,4
15,8,0,16,-10,-50,0,2
9,12,-10,-16,-10,-68,-14,-14
-7,6,0,-16,2,-110,-4,-12
-7,-4,2,-16,-10,-112,0,10
-7,10,-12,-14,-2,-118,-6,8
-9,-8,-22,-4,-2,-112,-2,10
-1,-20,-12,-4,20,-112,4,-18
1,-8,-10,-6,-10,-112,-2,-6
13,-14,-6,8,-8,-78,2,-8
-9,-14,10,-4,18,-84,0,-16
13,-4,-10,0,18,-44,0,2
-1,-4,0,-4,12,-48,-2,6
23,16,-12,-16,2,-22,-12,4
-1,2,0,-6,-10,8,8,-8
-1,10,4,24,18,26,14,20
27,10,4,12,10,58,2,-8
-1,8,14,2,-18,56,-8,8
-1,-4,-6,12,-2,76,-2,8
-1,-6,2,24,10,118,10,-8
23,-14,20,-8,14,112,-4,-8
-5,-4,10,-4,14,134,-2,-18
1,18,14,12,-2,104,-8,8
3,-20,16,16,-14,116,-2,-8
-7,-4,-12,-16,-12,104,-2,10
-5,2,8,-10,18,84,-2,-20
-3,2,4,-4,10,80,2,10
-1,-4,-12,-4,-14,24,-2,-20
1,12,4,-6,-2,16,-2,12
3,8,10,-20,8,-22,-6,-40
23,8,20,8,-2,-36,2,-8
7,22,36,14,10,-60,-18,-6
-13,-4,10,-4,10,-94,2,-26
3,-4,10,6,18,-94,2,-8
13,10,10,2,-12,-112,-8,-20
-15,-14,10,-20,-10,-112,-8,-10
-13,-14,12,8,-14,-112,-8,-16
-7,-10,2,-2,18,-112,-18,-16
-23,-26,-8,-4,0,-102,-2,20
-1,-4,10,-4,10,-76,12,-4
-31,-36,26,-4,-14,-68,2,4
-7,-6,-4,-6,-10,-62,-2,-16
3,-8,20,-16,4,-40,-10,2
-13,-14,-12,-4,-2,-18,-6,4
-15,-14,-12,-4,-12,16,0,-4
-29,-14,10,12,-14,42,-8,6
-23,-6,8,4,2,54,-2,-24
-13,-18,-10,-16,6,88,-6,-6
13,-6,-10,-16,-16,96,0,-4
-7,-2,-12,-4,-14,132,0,-20
1,8,26,-6,10,124,10,12
-15,16,8,20,-30,118,-4,-16
-23,-16,-6,-4,-8,124,0,6
-17,8,14,-4,-22,100,30,-8
-19,-34,6,10,-20,92,10,10
-5,-4,-6,-4,8,60,12,-6
-17,-36,-18,8,-12,64,2,-30
-19,28,-12,16,-10,32,-2,-18
-19,-16,4,-4,-10,14,-6,8
-19,-8,12,-8,12,-4,12,12
-17,-4,10,6,-2,-36,26,-8
3,-4,4,8,-18,-62,2,4
